date,cases,deaths
2019-12-31,1,0
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,2,0
2020-01-04,0,0
2020-01-05,1,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,1,0
2020-01-10,2,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,1,0
2020-01-14,3,0
2020-01-15,2,0
2020-01-16,2,0
2020-01-17,2,0
2020-01-18,3,0
2020-01-19,3,0
2020-01-20,7,0
2020-01-21,5,0
2020-01-22,5,0
2020-01-23,11,0
2020-01-24,15,0
2020-01-25,12,0
2020-01-26,9,0
2020-01-27,6,0
2020-01-28,8,0
2020-01-29,13,0
2020-01-30,16,0
2020-01-31,4,0
2020-02-01,3,1
2020-02-02,2,0
2020-02-03,3,0
2020-02-04,4,0
2020-02-05,3,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
